Min (MHz),Max (MHz),Primary Allocations UPPER (1),Primary Allocations UPPER (2),Primary Allocations UPPER (3),Primary Allocations UPPER (4),Primary Allocations UPPER (5),Primary Allocations UPPER (6),Primary Allocations UPPER (7),Primary Allocations UPPER (8)
22000,22210,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
22210,22500,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,
22500,22550,FIXED,MOBILE,,,,,,
22550,23150,FIXED,INTER-SATELLITE,MOBILE,SPACE RESEARCH (EARTH-TO-SPACE),,,,
23150,23550,FIXED,INTER-SATELLITE,MOBILE,,,,,
23550,23600,FIXED,MOBILE,,,,,,
23600,24000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
24000,24050,AMATEUR,AMATEUR-SATELLITE,,,,,,
24050,24250,RADIOLOCATION,,,,,,,
24250,24450,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIONAVIGATION,,,,,
24450,24650,FIXED,INTER-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIONAVIGATION,,,,
24650,24750,FIXED,INTER-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION-SATELLITE (EARTH-TO-SPACE),,,,
24750,25250,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
25250,25500,FIXED,INTER-SATELLITE,MOBILE,,,,,
25500,27000,EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH),FIXED,INTER-SATELLITE,MOBILE,SPACE RESEARCH (SPACE-TO-EARTH),,,
27000,27500,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),INTER-SATELLITE,MOBILE,,,,
27500,28500,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
28500,29100,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
29100,29500,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
29500,29900,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,
29900,30000,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,
30000,31000,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,
31000,31300,FIXED,MOBILE,,,,,,
31300,31500,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
31500,31800,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
31800,32000,FIXED,RADIONAVIGATION,SPACE RESEARCH,SPACE RESEARCH (SPACE-TO-EARTH),,,,
32000,32300,FIXED,RADIONAVIGATION,SPACE RESEARCH,SPACE RESEARCH (SPACE-TO-EARTH),,,,
32300,33000,FIXED,INTER-SATELLITE,RADIONAVIGATION,,,,,
33000,33400,FIXED,RADIONAVIGATION,,,,,,
33400,34200,RADIOLOCATION,,,,,,,
34200,34700,RADIOLOCATION,SPACE RESEARCH,SPACE RESEARCH (EARTH-TO-SPACE),,,,,
34700,35200,RADIOLOCATION,,,,,,,
35200,35500,METEOROLOGICAL AIDS,RADIOLOCATION,,,,,,
