Min (MHz),Max (MHz),Primary Allocations UPPER (1),Primary Allocations UPPER (2),Primary Allocations UPPER (3),Primary Allocations UPPER (4),Primary Allocations UPPER (5),Primary Allocations UPPER (6),Primary Allocations UPPER (7),Primary Allocations UPPER (8)
10.005,10.1,AERONAUTICAL MOBILE,,,,,,,
10.1,10.15,FIXED,,,,,,,
10.15,11.175,FIXED,,,,,,,
11.175,11.275,AERONAUTICAL MOBILE,,,,,,,
11.275,11.4,AERONAUTICAL MOBILE,,,,,,,
11.4,11.6,FIXED,,,,,,,
11.6,11.65,BROADCASTING,,,,,,,
11.65,12.05,BROADCASTING,,,,,,,
12.05,12.1,BROADCASTING,,,,,,,
12.1,12.23,FIXED,,,,,,,
12.23,13.2,MARITIME MOBILE,,,,,,,
13.2,13.26,AERONAUTICAL MOBILE,,,,,,,
13.26,13.36,AERONAUTICAL MOBILE,,,,,,,
13.36,13.41,FIXED,RADIO ASTRONOMY,,,,,,
13.41,13.45,FIXED,,,,,,,
13.45,13.55,FIXED,,,,,,,
13.55,13.57,FIXED,,,,,,,
13.57,13.6,BROADCASTING,,,,,,,
13.6,13.8,BROADCASTING,,,,,,,
13.8,13.87,BROADCASTING,,,,,,,
13.87,14,FIXED,,,,,,,
14,14.25,AMATEUR,AMATEUR-SATELLITE,,,,,,
14.25,14.35,AMATEUR,,,,,,,
14.35,14.99,FIXED,,,,,,,
14.99,15.005,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
15.005,15.01,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
15.01,15.1,AERONAUTICAL MOBILE,,,,,,,
15.1,15.6,BROADCASTING,,,,,,,
15.6,15.8,BROADCASTING,,,,,,,
15.8,16.1,FIXED,,,,,,,
16.1,16.2,FIXED,RADIOLOCATION,,,,,,
16.2,16.36,FIXED,,,,,,,
16.36,17.41,MARITIME MOBILE,,,,,,,
17.41,17.48,FIXED,,,,,,,
17.48,17.55,BROADCASTING,,,,,,,
17.55,17.9,BROADCASTING,,,,,,,
17.9,17.97,AERONAUTICAL MOBILE,,,,,,,
17.97,18.03,AERONAUTICAL MOBILE,,,,,,,
18.03,18.052,FIXED,,,,,,,
18.052,18.068,FIXED,,,,,,,
18.068,18.168,AMATEUR,AMATEUR-SATELLITE,,,,,,
18.168,18.78,FIXED,,,,,,,
18.78,18.9,MARITIME MOBILE,,,,,,,
18.9,19.02,BROADCASTING,,,,,,,
19.02,19.68,FIXED,,,,,,,
19.68,19.8,MARITIME MOBILE,,,,,,,
19.8,19.99,FIXED,,,,,,,
19.99,19.995,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
19.995,20.01,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
20.01,21,FIXED,,,,,,,
21,21.45,AMATEUR,AMATEUR-SATELLITE,,,,,,
21.45,21.85,BROADCASTING,,,,,,,
21.85,21.87,FIXED,,,,,,,
21.87,21.924,FIXED,,,,,,,
21.924,22,AERONAUTICAL MOBILE,,,,,,,
22,22.855,MARITIME MOBILE,,,,,,,
22.855,23,FIXED,,,,,,,
23,23.2,FIXED,,,,,,,
23.2,23.35,FIXED,AERONAUTICAL MOBILE,,,,,,
23.35,24,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
24,24.45,FIXED,LAND MOBILE,,,,,,
24.45,24.65,FIXED,LAND MOBILE,RADIOLOCATION,,,,,
24.65,24.89,FIXED,LAND MOBILE,,,,,,
24.89,24.99,AMATEUR,AMATEUR-SATELLITE,,,,,,
24.99,25.005,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
25.005,25.01,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
2.51,25.07,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
25.07,25.21,MARITIME MOBILE,,,,,,,
25.21,25.55,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
25.55,25.67,RADIO ASTRONOMY,,,,,,,
25.67,26.1,BROADCASTING,,,,,,,
26.1,26.175,MARITIME MOBILE,,,,,,,
26.175,26.2,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
26.2,26.42,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,,,,,
26.42,27.5,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
27.5,28,METEOROLOGICAL AIDS,FIXED,MOBILE,,,,,
28,29.7,AMATEUR,AMATEUR-SATELLITE,,,,,,
29.7,30.005,FIXED,MOBILE,,,,,,
30.005,30.01,SPACE OPERATION,FIXED,MOBILE,SPACE RESEARCH,,,,
30.01,37.5,FIXED,MOBILE,,,,,,
37.5,38.25,FIXED,MOBILE,,,,,,
38.25,39.986,FIXED,MOBILE,,,,,,
40.02,40.98,FIXED,MOBILE,,,,,,
40.98,41.015,FIXED,MOBILE,,,,,,
41.015,42,FIXED,MOBILE,,,,,,
42,42.5,FIXED,MOBILE,,,,,,
42.5,44,FIXED,MOBILE,,,,,,
44,47,FIXED,MOBILE,,,,,,
47,50,FIXED,MOBILE,,,,,,
50,54,AMATEUR,,,,,,,
54,68,BROADCASTING,,,,,,,
68,72,BROADCASTING,,,,,,,
72,73,FIXED,MOBILE,,,,,,
73,74.6,RADIO ASTRONOMY,,,,,,,
74.6,74.8,FIXED,MOBILE,,,,,,
74.8,75.2,AERONAUTICAL RADIONAVIGATION,,,,,,,
75.2,75.4,FIXED,MOBILE,,,,,,
75.4,76,FIXED,MOBILE,,,,,,
76,88,BROADCASTING,,,,,,,
88,100,BROADCASTING,,,,,,,
100,108,BROADCASTING,,,,,,,
108,117.975,AERONAUTICAL RADIONAVIGATION,,,,,,,
117.975,137,AERONAUTICAL MOBILE,,,,,,,
137,137.025,SPACE OPERATION (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (SPACE-TO-EARTH),,,,
137.025,137.175,SPACE OPERATION (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (SPACE-TO-EARTH),,,,,
137.175,137.825,SPACE OPERATION (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (SPACE-TO-EARTH),,,,
137.825,138,SPACE OPERATION (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (SPACE-TO-EARTH),,,,,
138,143.6,FIXED,MOBILE,RADIOLOCATION,,,,,
143.6,143.65,FIXED,MOBILE,RADIOLOCATION,SPACE RESEARCH (SPACE-TO-EARTH),,,,
143.65,144,FIXED,MOBILE,RADIOLOCATION,,,,,
144,146,AMATEUR,AMATEUR-SATELLITE,,,,,,
146,148,AMATEUR,,,,,,,
148,149.9,FIXED,MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,
149.9,150.05,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,,
150.05,154,FIXED,MOBILE,,,,,,
154,156.488,FIXED,MOBILE,,,,,,
156.488,156.563,MARITIME MOBILE,,,,,,,
156.563,156.763,FIXED,MOBILE,,,,,,
156.763,156.787,MARITIME MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,
156.787,156.813,MARITIME MOBILE,,,,,,,
156.813,156.838,MARITIME MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,
156.838,157.188,FIXED,MOBILE,,,,,,
157.188,157.338,FIXED,MOBILE,,,,,,
157.338,161.787,FIXED,MOBILE,,,,,,
161.787,161.938,FIXED,MOBILE,,,,,,
161.938,161.963,FIXED,MOBILE,,,,,,
161.963,161.988,AERONAUTICAL MOBILE,MARITIME MOBILE,MOBILE-SATELITE (EARTH-TO-SPACE),,,,,
161.988,162.013,FIXED,MOBILE,,,,,,
162.013,162.037,AERONAUTICAL MOBILE,MARITIME MOBILE,MOBILE-SATELITE (EARTH-TO-SPACE),,,,,
162.037,174,FIXED,MOBILE,,,,,,
174,216,BROADCASTING,,,,,,,
216,220,FIXED,MARITIME MOBILE,,,,,,
220,225,AMATEUR,FIXED,MOBILE,,,,,
225,235,FIXED,MOBILE,,,,,,
235,267,FIXED,MOBILE,,,,,,
267,272,FIXED,MOBILE,,,,,,
272,273,SPACE OPERATION (SPACE-TO-EARTH),FIXED,MOBILE,,,,,
273,312,FIXED,MOBILE,,,,,,
312,315,FIXED,MOBILE,,,,,,
315,322,FIXED,MOBILE,,,,,,
322,328.6,FIXED,MOBILE,RADIO ASTRONOMY,,,,,
328.6,335.4,AERONAUTICAL RADIONAVIGATION,,,,,,,
335.4,387,FIXED,MOBILE,,,,,,
387,390,FIXED,MOBILE,,,,,,
390,399.9,FIXED,MOBILE,,,,,,
399.9,400.05,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,,
400.05,400.15,STANDARD FREQUENCY AND TIME SIGNAL-SATELLITE,,,,,,,
400.15,401,METEOROLOGICAL AIDS,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (SPACE-TO-EARTH),,,,
401,402,METEOROLOGICAL AIDS,SPACE OPERATION (SPACE-TO-EARTH),EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),METEOROLOGICAL-SATELLITE (EARTH-TO-SPACE),,,,
402,403,METEOROLOGICAL AIDS,EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),METEOROLOGICAL-SATELLITE (EARTH-TO-SPACE),,,,,
403,406,METEOROLOGICAL AIDS,,,,,,,
406,406.1,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,,
406.1,410,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIO ASTRONOMY,,,,,
410,420,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH,,,,,
420,430,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
430,432,RADIOLOCATION,,,,,,,
432,438,RADIOLOCATION,,,,,,,
438,440,RADIOLOCATION,,,,,,,
440,450,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
450,455,FIXED,MOBILE,,,,,,
455,456,FIXED,MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,
456,459,FIXED,MOBILE,,,,,,
459,460,FIXED,MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,
460,470,FIXED,MOBILE,,,,,,
470,512,BROADCASTING,,,,,,,
512,608,BROADCASTING,,,,,,,
608,614,RADIO ASTRONOMY,,,,,,,
614,698,BROADCASTING,,,,,,,
698,806,MOBILE,BROADCASTING,,,,,,
806,890,FIXED,MOBILE,BROADCASTING,,,,,
890,902,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
902,928,FIXED,,,,,,,
928,942,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
942,960,FIXED,MOBILE,,,,,,
960,1164,AERONAUTICAL MOBILE,AERONAUTICAL RADIONAVIGATION,,,,,,
1164,1215,AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION-SATELLITE,,,,,
1215,1240,EARTH EXPLORATION-SATELLITE,RADIOLOCATION,RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION-SATELLITE,SPACE RESEARCH,,,
1240,1300,EARTH EXPLORATION-SATELLITE,RADIOLOCATION,RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION-SATELLITE,SPACE RESEARCH,,,
1300,1350,RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (EARTH-TO-SPACE),,,,,
1350,1400,RADIOLOCATION,,,,,,,
1400,1427,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
1427,1429,SPACE OPERATION (EARTH-TO-SPACE),FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
1429,1452,FIXED,MOBILE,,,,,,
1452,1492,FIXED,MOBILE,BROADCASTING,BROADCASTING-SATELLITE,,,,
1492,1518,FIXED,MOBILE,,,,,,
1518,1525,FIXED,MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,,
1525,1530,SPACE OPERATION (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),,,,,,
1530,1535,SPACE OPERATION (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),,,,,,
1535,1559,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,,,,
1559,1610,AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION-SATELLITE,,,,,
1610,1610.6,MOBILE-SATELLITE (EARTH-TO-SPACE),AERONAUTICAL RADIONAVIGATION,RADIODETERMINATION-SATELLITE (EARTH-TO-SPACE),,,,,
1610.6,1613.8,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,AERONAUTICAL RADIONAVIGATION,RADIODETERMINATION-SATELLITE (EARTH-TO-SPACE),,,,
1613.8,1621.35,MOBILE-SATELLITE (EARTH-TO-SPACE),AERONAUTICAL RADIONAVIGATION,RADIODETERMINATION-SATELLITE (EARTH-TO-SPACE),,,,,
1621.35,1626.5,MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (EARTH-TO-SPACE),AERONAUTICAL RADIONAVIGATION,RADIODETERMINATION-SATELLITE (EARTH-TO-SPACE),,,,
1626.5,1660,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,,
1660,1660.5,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,,,,,,
1660.5,1668,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,,
1668,1668.4,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
1668.4,1670,METEOROLOGICAL AIDS,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,,,
1670,1675,METEOROLOGICAL AIDS,FIXED,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),,,
1675,1690,METEOROLOGICAL AIDS,FIXED,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
1690,1700,METEOROLOGICAL AIDS,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),,,,,,
1700,1710,FIXED,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
1710,1930,FIXED,MOBILE,,,,,,
1930,1970,FIXED,MOBILE,,,,,,
1970,1980,FIXED,MOBILE,,,,,,
1980,2010,FIXED,MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,
2010,2025,FIXED,MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,
2025,2110,SPACE OPERATION (EARTH-TO-SPACE),SPACE OPERATION,EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),EARTH EXPLORATION-SATELLITE,FIXED,MOBILE,SPACE RESEARCH (EARTH-TO-SPACE),SPACE RESEARCH
2110,2120,FIXED,MOBILE,SPACE RESEARCH,SPACE RESEARCH (EARTH-TO-SPACE),,,,
2120,2160,FIXED,MOBILE,,,,,,
2160,2170,FIXED,MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,,
2170,2200,FIXED,MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,,
2200,2290,SPACE OPERATION (SPACE-TO-EARTH),SPACE OPERATION,EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH),EARTH EXPLORATION-SATELLITE,FIXED,MOBILE,SPACE RESEARCH (SPACE-TO-EARTH),SPACE RESEARCH
2290,2300,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH,SPACE RESEARCH (SPACE-TO-EARTH),,,,
2300,2450,FIXED,MOBILE,RADIOLOCATION,,,,,
2450,2483.5,FIXED,MOBILE,RADIOLOCATION,,,,,
2483.5,2500,FIXED,MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),RADIOLOCATION,RADIODETERMINATION-SATELLITE (SPACE-TO-EARTH),,,
2500,2520,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
2520,2655,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING-SATELLITE,,,,
2655,2670,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING-SATELLITE,,,
2670,2690,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
2690,2700,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
2700,2900,AERONAUTICAL RADIONAVIGATION,,,,,,,
2900,3100,RADIOLOCATION,RADIONAVIGATION,,,,,,
3100,3300,RADIOLOCATION,,,,,,,
3300,3400,RADIOLOCATION,,,,,,,
3400,3500,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
3500,3600,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
3600,3700,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
3700,4200,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
4200,4400,AERONAUTICAL MOBILE,AERONAUTICAL RADIONAVIGATION,,,,,,
4400,4500,FIXED,MOBILE,,,,,,
4500,4800,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
4800,4990,FIXED,MOBILE,,,,,,
4990,5000,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIO ASTRONOMY,,,,,
5000,5010,AERONAUTICAL MOBILE-SATELLITE,AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (EARTH-TO-SPACE),,,,,
5010,5030,AERONAUTICAL MOBILE-SATELLITE,AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH),,,,,
5030,5091,AERONAUTICAL MOBILE,AERONAUTICAL MOBILE-SATELLITE,AERONAUTICAL RADIONAVIGATION,,,,,
5091,5150,FIXED-SATELLITE (EARTH-TO-SPACE),AERONAUTICAL MOBILE,AERONAUTICAL MOBILE-SATELLITE,AERONAUTICAL RADIONAVIGATION,,,,
5150,5250,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,AERONAUTICAL RADIONAVIGATION,,,,,
5250,5255,EARTH EXPLORATION-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,SPACE RESEARCH,,,,
5255,5350,EARTH EXPLORATION-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,SPACE RESEARCH,,,,
5350,5460,EARTH EXPLORATION-SATELLITE,RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,SPACE RESEARCH,,,,
5460,5470,EARTH EXPLORATION-SATELLITE,RADIOLOCATION,RADIONAVIGATION,SPACE RESEARCH,,,,
5470,5570,EARTH EXPLORATION-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,MARITIME RADIONAVIGATION,SPACE RESEARCH,,,
5570,5650,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,MARITIME RADIONAVIGATION,,,,,
5650,5725,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,,,,,,
5725,5830,RADIOLOCATION,,,,,,,
5830,5850,RADIOLOCATION,,,,,,,
5850,5925,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
5925,6700,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
6700,7075,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,
7075,7145,FIXED,MOBILE,,,,,,
7145,7190,FIXED,MOBILE,SPACE RESEARCH,SPACE RESEARCH (EARTH-TO-SPACE),,,,
7190,7235,EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),FIXED,MOBILE,SPACE RESEARCH (EARTH-TO-SPACE),,,,
7235,7250,EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),FIXED,MOBILE,,,,,
7250,7300,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
7300,7375,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
7375,7450,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
7450,7550,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH),,,
7550,7750,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
7750,7900,FIXED,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
7900,8025,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
8025,8175,EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH),FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,
8175,8215,EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH),FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),METEOROLOGICAL-SATELLITE (EARTH-TO-SPACE),MOBILE,,,
8215,8400,EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH),FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,
8400,8500,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH (SPACE-TO-EARTH),,,,,
8500,8550,RADIOLOCATION,,,,,,,
